property_id,living_area,total_area,rooms,bathrooms,bedrooms,garage,garden,balcony,furnished,pool,floors,price,latitude,longitude,type_apartment,type_house,description
27,106.0,118.0,3.0,1.0,3.0,0,0,0,1,0,3.0,614927.0,36.8184978367,10.1853806811,0,1,"This property offers 106 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 3 floors. It also features is fully furnished. Ideal for residential use. The asking price is approximately 614927 TND."
28,146.0,146.0,4.0,2.0,3.0,0,0,0,0,0,5.0,513099.0,36.7305565,10.3095307,0,1,"This property offers 146 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 5 floors. Ideal for residential use. The asking price is approximately 513099 TND."
29,157.0,192.0,4.0,1.0,3.0,1,0,1,0,0,2.0,650100.0,36.8601075,10.2898885,0,1,"This property offers 157 m² of living space on a 157 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a garage, a balcony. Ideal for residential use. The asking price is approximately 650100 TND."
30,221.3,192.0,4.0,3.0,3.0,1,0,0,0,0,1.0,947000.0,36.8601075,10.2898885,0,1,"This property offers 221 m² of living space on a 221 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. It also features a garage. Ideal for residential use. The asking price is approximately 947000 TND."
31,163.0,100.0,4.0,1.0,3.0,0,0,0,0,0,2.0,122985.0,35.7963519,10.65752051,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 122985 TND."
32,163.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,1400000.0,36.8622616,10.1697459,0,0,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 1400000 TND."
33,141.0,176.0,4.0,1.0,3.0,0,0,0,0,0,2.0,373693.0,36.4012665,10.5572826516,0,1,"This property offers 141 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 373693 TND."
34,201.0,192.0,3.0,1.0,2.0,0,0,0,0,0,3.0,1500000.0,36.9051527,10.2982512,0,1,"This property offers 201 m² of living space on a 201 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 3 floors. Ideal for residential use. The asking price is approximately 1500000 TND."
35,133.0,192.0,4.0,1.0,3.0,0,0,1,0,0,5.0,330000.0,36.85483045,10.2847585688,0,1,"This property offers 133 m² of living space on a 133 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 5 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 330000 TND."
36,252.0,252.0,4.0,2.0,3.0,0,0,0,0,0,2.0,517413.0,36.767891,10.2724617,0,1,"This property offers 252 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 517413 TND."
37,95.0,95.0,2.0,1.0,3.0,0,0,0,1,1,2.0,298508.0,36.4012665,10.5572826516,0,1,"This property offers 95 m² of living space on a 180 m² plot. It includes 2 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a swimming pool, is fully furnished. Ideal for residential use. The asking price is approximately 298508 TND."
38,60.0,60.0,3.0,1.0,2.0,0,0,0,0,0,1.0,89553.0,36.85630205,10.3150315389,0,1,"This property offers 60 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. Ideal for residential use. The asking price is approximately 89553 TND."
39,450.0,192.0,4.0,2.0,3.0,1,1,1,0,0,2.0,750000.0,36.385973755,10.4582026824,0,1,"This property offers 450 m² of living space on a 210 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 2 floors. It also features a garage, a balcony, a garden. Ideal for residential use. The asking price is approximately 750000 TND."
40,198.0,90.0,3.0,1.0,2.0,0,1,1,1,1,5.0,340000.0,35.8408704,10.60015645,0,1,"This property offers 198 m² of living space on a 108 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 5 floors. It also features a balcony, a garden, a swimming pool, is fully furnished. Ideal for residential use. The asking price is approximately 340000 TND."
41,163.0,162.0,4.0,1.0,3.0,0,0,0,0,0,7.0,363832.0,35.8288284,10.6405254,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 7 floors. Ideal for residential use. The asking price is approximately 363832 TND."
42,163.0,100.0,4.0,1.0,3.0,0,0,0,0,0,2.0,122985.0,35.7963519,10.65752051,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 122985 TND."
43,586.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,487500.0,36.385973755,10.4582026824,1,0,"This property offers 586 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. This property serves other purposes. The asking price is approximately 487500 TND."
44,123.0,123.0,3.0,1.0,2.0,0,0,1,0,0,2.0,298508.0,36.8749751,10.2454267,0,1,"This property offers 123 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 298508 TND."
45,324.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,220000.0,36.8606537,10.208700573,0,0,"This property offers 324 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 220000 TND."
46,96.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,348258.0,35.8288284,10.6405254,0,1,"This property offers 96 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 348258 TND."
47,163.0,192.0,4.0,2.0,3.0,0,1,0,0,0,2.0,900000.0,36.4382476,10.5632044,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 2 floors. It also features a garden. Ideal for residential use. The asking price is approximately 900000 TND."
48,163.0,115.0,3.0,1.0,3.0,0,0,0,0,0,2.0,318409.0,35.8288284,10.6405254,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 318409 TND."
49,180.0,192.0,4.0,3.0,3.0,0,0,1,0,0,2.0,430000.0,36.8622616,10.1697459,0,1,"This property offers 180 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 430000 TND."
50,180.0,192.0,4.0,1.0,3.0,0,0,0,0,0,1.0,600000.0,36.8622616,10.1697459,0,1,"This property offers 180 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. Ideal for residential use. The asking price is approximately 600000 TND."
51,180.0,180.0,4.0,3.0,3.0,0,0,1,0,0,2.0,427860.0,36.9685735,10.1219855063,0,1,"This property offers 180 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 427860 TND."
52,150.0,192.0,4.0,1.0,3.0,0,0,0,0,0,3.0,680000.0,36.8601075,10.2898885,0,1,"This property offers 150 m² of living space on a 150 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 3 floors. Ideal for residential use. The asking price is approximately 680000 TND."
53,163.0,280.0,4.0,2.0,3.0,1,1,0,0,0,2.0,400000.0,33.7735976,10.8861887575,0,1,"This property offers 163 m² of living space on a 147 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 2 floors. It also features a garage, a garden. Ideal for residential use. The asking price is approximately 400000 TND."
54,100.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,447762.0,36.4012665,10.5572826516,0,1,"This property offers 100 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 447762 TND."
55,131.0,131.0,3.0,2.0,2.0,0,0,1,0,0,1.0,534330.0,33.687261879,-5.3570109556,0,1,"This property offers 131 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 2 bathrooms. It also features a balcony. Ideal for residential use. The asking price is approximately 534330 TND."
56,450.0,192.0,4.0,3.0,3.0,1,1,1,1,0,1.0,690000.0,33.8688772,10.8695549858,0,1,"This property offers 450 m² of living space on a 170 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. It also features a garage, a balcony, a garden, is fully furnished. Ideal for residential use. The asking price is approximately 690000 TND."
57,77.0,92.0,2.0,1.0,3.0,0,0,0,1,0,4.0,1069123.0,36.8002068,10.1857757,0,1,"This property offers 77 m² of living space on a 180 m² plot. It includes 2 rooms, 3 bedrooms, and 1 bathrooms. The property spans 4 floors. It also features is fully furnished. Ideal for residential use. The asking price is approximately 1069123 TND."
58,120.0,120.0,4.0,1.0,3.0,0,0,0,0,1,2.0,477614.0,36.4012665,10.5572826516,0,1,"This property offers 120 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a swimming pool. Ideal for residential use. The asking price is approximately 477614 TND."
59,125.0,125.0,4.0,1.0,3.0,0,0,1,0,0,2.0,293532.0,36.8002068,10.1857757,0,1,"This property offers 125 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 293532 TND."
60,104.0,192.0,3.0,1.0,2.0,0,0,0,0,1,2.0,332548.0,36.4012665,10.5572826516,0,1,"This property offers 104 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a swimming pool. Ideal for residential use. The asking price is approximately 332548 TND."
61,117.0,192.0,3.0,2.0,2.0,1,0,0,0,0,6.0,420000.0,36.8445302,10.1503899,0,1,"This property offers 117 m² of living space on a 117 m² plot. It includes 3 rooms, 2 bedrooms, and 2 bathrooms. The property spans 6 floors. It also features a garage. Ideal for residential use. The asking price is approximately 420000 TND."
62,202.0,192.0,5.0,2.0,4.0,0,0,0,0,0,1.0,720000.0,36.8601075,10.2898885,0,1,"This property offers 202 m² of living space on a 175 m² plot. It includes 5 rooms, 4 bedrooms, and 2 bathrooms. Ideal for residential use. The asking price is approximately 720000 TND."
63,148.0,148.0,3.0,2.0,2.0,0,0,1,0,0,1.0,446363.0,36.7305565,10.3095307,0,1,"This property offers 148 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 2 bathrooms. It also features a balcony. Ideal for residential use. The asking price is approximately 446363 TND."
64,129.0,192.0,3.0,1.0,2.0,0,0,1,0,0,4.0,475000.0,36.405222,10.5681321,0,1,"This property offers 129 m² of living space on a 129 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 4 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 475000 TND."
65,2.453,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,315000.0,33.8458107,10.9876027664,0,0,"This property offers 2 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 315000 TND."
66,156.0,169.0,4.0,1.0,3.0,0,0,0,0,0,4.0,309453.0,35.8288284,10.6405254,0,1,"This property offers 156 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 4 floors. Ideal for residential use. The asking price is approximately 309453 TND."
67,163.0,280.0,4.0,2.0,3.0,1,1,0,0,0,2.0,400000.0,33.7735976,10.8861887575,0,1,"This property offers 163 m² of living space on a 147 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 2 floors. It also features a garage, a garden. Ideal for residential use. The asking price is approximately 400000 TND."
68,2.786,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,470000.0,35.7696159,10.6245659,1,0,"This property offers 2 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. This property serves other purposes. The asking price is approximately 470000 TND."
69,125.0,192.0,4.0,1.0,3.0,0,1,1,0,0,2.0,295000.0,36.8370597,10.1477835,0,1,"This property offers 125 m² of living space on a 108 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony, a garden. Ideal for residential use. The asking price is approximately 295000 TND."
70,135.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,318409.0,35.8749788,10.5935183037,0,1,"This property offers 135 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 318409 TND."
71,140.0,140.0,3.0,1.0,2.0,0,0,1,0,0,1.0,330000.0,36.9051527,10.2982512,0,1,"This property offers 140 m² of living space on a 140 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. It also features a balcony. Ideal for residential use. The asking price is approximately 330000 TND."
72,267.0,192.0,4.0,2.0,3.0,0,1,0,0,0,6.0,729000.0,36.8622616,10.1697459,0,1,"This property offers 267 m² of living space on a 155 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 6 floors. It also features a garden. Ideal for residential use. The asking price is approximately 729000 TND."
73,123.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,348258.0,35.8288284,10.6405254,0,1,"This property offers 123 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 348258 TND."
74,70.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,199004.0,35.8288284,10.6405254,0,0,"This property offers 70 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. The asking price is approximately 199004 TND."
75,163.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,350.0,36.7531147,10.0685193663,0,0,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 350 TND."
76,96.0,96.0,3.0,1.0,3.0,0,0,1,0,0,1.0,159204.0,36.719825,10.2192362414,0,1,"This property offers 96 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. It also features a balcony. Ideal for residential use. The asking price is approximately 159204 TND."
77,163.0,228.0,5.0,3.0,3.0,1,1,1,0,0,2.0,630000.0,36.8660799,10.1693915,0,1,"This property offers 163 m² of living space on a 149 m² plot. It includes 5 rooms, 3 bedrooms, and 3 bathrooms. The property spans 2 floors. It also features a garage, a balcony, a garden. Ideal for residential use. The asking price is approximately 630000 TND."
78,163.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,350.0,36.7531147,10.0685193663,0,0,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 350 TND."
79,140.0,155.0,3.0,1.0,3.0,0,0,0,1,1,4.0,317712.0,36.0317203,10.5064796,0,1,"This property offers 140 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 4 floors. It also features a swimming pool, is fully furnished. Ideal for residential use. The asking price is approximately 317712 TND."
80,85.0,85.0,2.0,1.0,3.0,0,0,0,0,0,2.0,223881.0,35.8288284,10.6405254,0,1,"This property offers 85 m² of living space on a 180 m² plot. It includes 2 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 223881 TND."
81,133.0,133.0,4.0,1.0,3.0,0,0,1,0,0,5.0,328360.0,33.687261879,-5.3570109556,0,1,"This property offers 133 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 5 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 328360 TND."
82,108.0,108.0,3.0,1.0,2.0,0,0,0,0,0,2.0,278606.0,35.8288284,10.6405254,0,1,"This property offers 108 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 278606 TND."
83,127.0,192.0,4.0,1.0,3.0,1,0,1,0,0,1.0,330000.0,36.8491478,10.2639359,0,1,"This property offers 127 m² of living space on a 127 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. It also features a garage, a balcony. Ideal for residential use. The asking price is approximately 330000 TND."
84,6.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,100000.0,33.7735976,10.8861887575,1,0,"This property offers 6 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. This property serves other purposes. The asking price is approximately 100000 TND."
85,70.0,70.0,2.0,1.0,3.0,0,0,0,0,0,2.0,223881.0,35.8288284,10.6405254,0,1,"This property offers 70 m² of living space on a 180 m² plot. It includes 2 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 223881 TND."
86,100.0,100.0,3.0,1.0,3.0,0,0,0,1,0,2.0,378110.0,36.4012665,10.5572826516,0,1,"This property offers 100 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features is fully furnished. Ideal for residential use. The asking price is approximately 378110 TND."
87,2.453,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,315000.0,33.8458107,10.9876027664,0,0,"This property offers 2 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Suitable for land development. The asking price is approximately 315000 TND."
88,106.0,118.0,3.0,1.0,3.0,0,0,0,1,0,3.0,614927.0,36.8184978367,10.1853806811,0,1,"This property offers 106 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 3 floors. It also features is fully furnished. Ideal for residential use. The asking price is approximately 614927 TND."
89,450.0,192.0,4.0,3.0,3.0,1,1,1,1,0,1.0,690000.0,33.8688772,10.8695549858,0,1,"This property offers 450 m² of living space on a 170 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. It also features a garage, a balcony, a garden, is fully furnished. Ideal for residential use. The asking price is approximately 690000 TND."
90,129.0,192.0,3.0,1.0,2.0,0,0,1,0,0,4.0,475000.0,36.405222,10.5681321,0,1,"This property offers 129 m² of living space on a 129 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 4 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 475000 TND."
91,267.0,192.0,4.0,2.0,3.0,0,1,0,0,0,6.0,729000.0,36.8622616,10.1697459,0,1,"This property offers 267 m² of living space on a 155 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 6 floors. It also features a garden. Ideal for residential use. The asking price is approximately 729000 TND."
92,60.0,60.0,3.0,1.0,3.0,0,0,0,1,0,2.0,248757.0,35.90524105,10.5620744856,0,1,"This property offers 60 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features is fully furnished. Ideal for residential use. The asking price is approximately 248757 TND."
93,138.0,138.0,4.0,1.0,3.0,0,0,0,0,0,6.0,385000.0,36.385973755,10.4582026824,0,1,"This property offers 138 m² of living space on a 138 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 6 floors. Ideal for residential use. The asking price is approximately 385000 TND."
94,115.0,139.0,3.0,1.0,3.0,0,0,0,0,0,2.0,417910.0,36.405222,10.5681321,0,1,"This property offers 115 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 417910 TND."
95,76.0,76.0,3.0,1.0,3.0,0,0,0,0,0,4.0,139303.0,35.79883655,10.4717293089,0,1,"This property offers 76 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 4 floors. Ideal for residential use. The asking price is approximately 139303 TND."
96,122.0,192.0,4.0,1.0,3.0,1,0,0,0,0,2.0,386000.0,36.8622616,10.1697459,0,1,"This property offers 122 m² of living space on a 122 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a garage. Ideal for residential use. The asking price is approximately 386000 TND."
97,270.0,270.0,4.0,1.0,3.0,0,0,1,0,0,2.0,975126.0,42.8225242,2.1551881,0,1,"This property offers 270 m² of living space on a 170 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 975126 TND."
98,155.0,155.0,4.0,1.0,3.0,0,0,0,0,0,4.0,383085.0,36.9685735,10.1219855063,0,1,"This property offers 155 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 4 floors. Ideal for residential use. The asking price is approximately 383085 TND."
99,204.2,204.2,4.0,3.0,3.0,1,0,0,0,0,2.0,881000.0,36.8601075,10.2898885,0,1,"This property offers 204 m² of living space on a 204 m² plot. It includes 4 rooms, 3 bedrooms, and 3 bathrooms. The property spans 2 floors. It also features a garage. Ideal for residential use. The asking price is approximately 881000 TND."
100,70.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,199004.0,35.8288284,10.6405254,0,0,"This property offers 70 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. The asking price is approximately 199004 TND."
101,140.0,120.0,3.0,1.0,2.0,0,1,1,0,1,5.0,335000.0,35.912553,10.5758134,0,1,"This property offers 140 m² of living space on a 120 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 5 floors. It also features a balcony, a garden, a swimming pool. Ideal for residential use. The asking price is approximately 335000 TND."
102,74.0,74.0,2.0,1.0,1.0,0,0,0,0,1,4.0,383085.0,36.823415,10.2313521629,0,1,"This property offers 74 m² of living space on a 180 m² plot. It includes 2 rooms, 1 bedrooms, and 1 bathrooms. The property spans 4 floors. It also features a swimming pool. Ideal for residential use. The asking price is approximately 383085 TND."
